HudongItem,relation,NewNode
珍珠菜属,parent taxon,Myrsinoideae
斯蒂尔,located in the administrative territorial entity,基德县
长枪乌贼,parent taxon,Loligo
西里西亚,topic's main Wikimedia portal,Portal:Silesia
Ramon,said to be the same as,Raimundo
拉曼,religion,逊尼派
雷马克,conflict,第一次世界大战
林丹,participant of,2009 French Super Series – Men's singles
碳黑,described by source,亚美尼亚苏维埃百科全书
南京条约,significant event,批准
四棱豆,parent taxon,四棱豆属
西里西亚,topic's main category,Category:西里西亚
Ramon,said to be the same as,Raymundo
拉曼,described by source,Great Soviet Encyclopedia (1969–1978)
雷马克,notable work,西线无战事
林丹,participant of,2011 French Super Series – Men's singles
粤,shares border with,中山市
关公,instance of,人类
群,subclass of,么半群
恩特雷里奥斯省,instance of,阿根廷行政区划
漂砾,subclass of,rock formation
IO,subclass of,通信
联合村,located in the administrative territorial entity,双龙镇
碳黑,different from,Saze
胡桃目,parent taxon,金缕梅亚纲
药物动力学,topic's main category,Category:药代动力学
塞恩,capital of,canton of Seyne
南京条约,topic's main category,Category:Treaty of Nanking
珍珠菜属,topic's main category,Category:Lysimachia
四棱豆,basionym,Dolichos tetragonolobus
西里西亚,category of associated people,Category:西里西亚人
Ramon,said to be the same as,Redmond
雷马克,notable work,The Road Back
心火,FSK film rating,FSK 12
林丹,participant of,2004 German Open Badminton Championships – Men's singles
粤,topic's main Wikimedia portal,Portal:广州
关公,instance of,war deity
非牛顿流体,named after,艾萨克·牛顿
群,subclass of,inverse semigroup
漂砾,topic's main category,Category:Glacial erratics
IO,facet of,资讯处理周期
联合村,located in time zone,UTC+08:00
碳黑,different from,Hollín
胡桃目,parent taxon,Monochlamydeae
塞恩,located in the administrative territorial entity,canton of Seyne
西里西亚,category for people born here,Category:Silesian people
Ramon,said to be the same as,Reymond
雷马克,notable work,Spark of Life
林丹,participant of,2005 German Open Badminton Championships – Men's singles
粤,topic's main template,Template:广州
象,topic's main category,Category:象
非牛顿流体,facet of,黏度
群,subclass of,Moufang loop
IO,facet of,计算
胡桃目,parent taxon,Archichlamydeae
塞恩,located in the administrative territorial entity,上普罗旺斯阿尔卑斯省
西里西亚,described by source,亚美尼亚苏维埃百科全书
雷马克,notable work,The Dream Room
林丹,participant of,2007 German Open Badminton Championships – Men's singles
粤,topic's main category,Category:广州
象,catalog,Wikipedia:基础条目
群,subclass of,广群
IO,topic's main category,Category:输入/输出
胡桃目,parent taxon,Juglandanae
塞恩,located in the administrative territorial entity,迪涅莱班区
西里西亚,said to be the same as,西里西亚人
雷马克,archives at,New York University Libraries
林丹,participant of,2011 German Open Badminton Championships – Men's singles
粤,category of associated people,Category:广州人
非牛顿流体,topic's main category,Category:非牛顿流体
群,subclass of,epigroup
恩特雷里奥斯省,office held by head of government,Governor of Entre Ríos Province
IO,described by source,The Art of Computer Programming Volume 1: Fundamental Algorithms 3rd edition
胡桃目,topic's main category,Category:胡桃目
塞恩,located in time zone,UTC+01:00
雷马克,topic's main category,Category:Erich Maria Remarque
林丹,participant of,2012 German Open Badminton Championships – Men's singles
粤,category for people who died here,Category:Deaths in Guangzhou
关公,cause of death,斩首
群,subclass of,有序对
恩特雷里奥斯省,head of government,Gustavo Bordet
IO,has part,输入
塞恩,located in time zone,UTC+02:00
雷马克,described by source,Great Soviet Encyclopedia (1969–1978)
林丹,participant of,2016 German Open Badminton Championships – Men's singles
粤,category for films shot at this location,Category:广州取景电影
马来西亚,diplomatic relation,拉脱维亚
关公,child,关平
群,studied by,群论
恩特雷里奥斯省,legislative body,legislature of Entre Ríos
IO,has part,输出
塞恩,shares border with,Auzet
雷马克,described by source,German Biography
林丹,participant of,2004 Indonesia Open Badminton Championships – Men's singles
粤,described by source,Nordisk familjebok
关公,child,关兴
群,has list,Examples of groups
恩特雷里奥斯省,contains administrative territorial entity,科隆县
塞恩,shares border with,勒洛泽于拜埃
林丹,participant of,2003 Badminton World Championships – Men's Singles
关公,child,关氏
群,has quality,闭包
恩特雷里奥斯省,contains administrative territorial entity,孔科尔迪亚县
塞恩,shares border with,蒙特克拉
林丹,participant of,2005 Badminton World Championships – Men's Singles
马来西亚,diplomatic relation,迦纳
关公,child,关索
群,has quality,结合律
恩特雷里奥斯省,contains administrative territorial entity,迪亚曼特县
塞恩,shares border with,梅奥朗勒韦
林丹,participant of,2006 Badminton World Championships – Men's Singles
马来西亚,diplomatic relation,吉尔吉斯斯坦
关公,occupation,军官
群,has quality,单位元
恩特雷里奥斯省,contains administrative territorial entity,费德拉西翁县
塞恩,shares border with,瑟洛内
林丹,participant of,2007 Badminton World Championships – Men's Singles
关公,military rank,将军
群,has quality,逆元素
恩特雷里奥斯省,contains administrative territorial entity,费德拉尔县
塞恩,shares border with,韦尔达谢
林丹,participant of,2009 Badminton World Championships – Men's Singles
茑萝松,instance of,生物分类单元
营,instance of,military unit type-size class
口香糖,subclass of,糖果糕点
中新世,instance of,世 (地质学)
关公,topic's main category,Category:关羽
恩特雷里奥斯省,contains administrative territorial entity,瓜莱瓜伊县
塞恩,shares border with,勒韦尔内
林丹,participant of,2011年世界羽毛球锦标赛-男子单打
马来西亚,diplomatic relation,阿曼
Ban,part of,Ben District
营,subclass of,军事单位
口香糖,topic's main category,Category:口香糖
恩特雷里奥斯省,contains administrative territorial entity,瓜莱瓜伊丘县
林丹,participant of,2013年世界羽毛球锦标赛男子单打项目
同源,subclass of,属性
马林斯,instance of,美国城市
新木姜子,instance of,生物分类单元
天主教,instance of,宗派
茑萝松,parent taxon,番薯属
营,subclass of,subdivision
口香糖,has part,Chicle
中新世,part of,新近纪
恩特雷里奥斯省,contains administrative territorial entity,伊维奎群岛县
林丹,participant of,2004 Swiss Open Badminton Championships – Men's singles
马来西亚,diplomatic relation,斯里兰卡
同源,opposite of,相似（生物）
gf,instance of,海外省分
木屐,subclass of,人字拖
Ban,located in the administrative territorial entity,Ben District
营,part of,军队
口香糖,has part,gum base
黄果树瀑布,located in the administrative territorial entity,安顺市
中新世,follows,渐新世
大兴安岭,described by source,Nordisk familjebok
恩特雷里奥斯省,contains administrative territorial entity,拉巴斯县
林丹,participant of,2007 Swiss Open Super Series – Men's singles
林业,instance of,economic branch
孟春,instance of,农历月份
嗜血杆菌,instance of,生物分类单元
学士,subclass of,专科学校
同源,described by source,亚美尼亚苏维埃百科全书
cyst,topic's main category,Category:囊肿
Frontier,located in the administrative territorial entity,卡斯县
马林斯,located in the administrative territorial entity,马里昂县 (南卡罗莱纳州)
新木姜子,parent taxon,新木姜子属
天主教,topic's main Wikimedia portal,Portal:天主教
营,topic's main category,Category:Battalions
恩特雷里奥斯省,contains administrative territorial entity,诺戈亚县
林丹,participant of,2008 Swiss Open Super Series – Men's singles
马来西亚,diplomatic relation,台湾
甲烯土霉素,instance of,药物治疗
痴呆症,subclass of,认知障碍
gf,anthem,马赛曲
新木姜子,basionym,Litsea aurata
天主教,topic's main category,Category:天主教
中新世,topic's main category,Category:中新世
恩特雷里奥斯省,contains administrative territorial entity,帕拉纳县
林丹,participant of,2015 Malaysia Super Series Premier – Men's singles
蝮蛇,instance of,生物分类单元
CPO,instance of,机场
鸳鸯,instance of,生物分类单元
小年,instance of,维基媒体消歧义页
甲烯土霉素,subclass of,antibacterial
天主教,described by source,天主教百科全书
中新世,has part,墨西拿期
恩特雷里奥斯省,contains administrative territorial entity,费利西亚诺县
林丹,participant of,2005 Japan Open Badminton Championships – Men's singles
马来西亚,diplomatic relation,土库曼斯坦
社会问题,topic's main category,Category:社会问题
林业,topic's main Wikimedia portal,Portal:Forestry
孟春,topic's main category,Category:正月
嗜血杆菌,has effect,会厌炎
痴呆症,health specialty,神经学
天主教,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
中新世,has part,Tortonian
恩特雷里奥斯省,contains administrative territorial entity,圣萨尔瓦多县
林丹,participant of,2006 Japan Open Badminton Championships – Men's singles
蝮蛇,parent taxon,蝮亚科
社会问题,described by source,亚美尼亚苏维埃百科全书
CPO,located in the administrative territorial entity,科皮亚波
林业,topic's main category,Category:林业
嗜血杆菌,health specialty,感染科
痴呆症,drug used for treatment,西酞普兰
学士,topic's main category,Category:学士学位
gf,country,葡萄牙帝国
天主教,described by source,俄语百科全书
中新世,has part,塞拉瓦尔阶
恩特雷里奥斯省,contains administrative territorial entity,塔拉县
林丹,participant of,2015 Japan Super Series – Men's singles
赛葵,instance of,生物分类单元
扁头猫,instance of,生物分类单元
豇豆,instance of,生物分类单元
铜锈,subclass of,rosasite mineral group
冻土,instance of,soil type
fisher,instance of,生物分类单元
轴榈属,instance of,生物分类单元
蝮蛇,topic's main category,Category:Gloydius
CPO,place served by transport hub,科皮亚波
鸳鸯,IUCN conservation status,无危物种
痴呆症,drug used for treatment,普乐明
学士,described by source,Otto's encyclopedia
gf,capital,开云
天主教,has part,天主教会
中新世,has part,Langhian
恩特雷里奥斯省,contains administrative territorial entity,乌拉圭县
林丹,participant of,2002 Korea Open Badminton Championships – Men's singles
铜锈,named after,锦葵属
痴呆症,drug used for treatment,维思通
学士,described by source,Vlastenský slovník historický
天主教,has part,旧天主教会
中新世,has part,Burdigalian
恩特雷里奥斯省,contains administrative territorial entity,维多利亚县
林丹,participant of,2007 Korea Open Super Series – Men's singles
赛葵,parent taxon,赛葵属
扁头猫,parent taxon,豹猫属
铜锈,streak color,绿色
赵县,capital,赵州镇
fisher,parent taxon,貂属
痴呆症,drug used for treatment,perphenazine
学士,described by source,Riemann's Music Dictionary (1901-1904)
中新世,has part,Aquitanian
恩特雷里奥斯省,contains administrative territorial entity,比亚瓜伊县
林丹,participant of,2011 Korea Open Super Series – Men's singles
马来西亚,diplomatic relation,突尼西亚
tarsus,described by source,Gray's Anatomy (20th edition)
豆腐乳,subclass of,食品发酵
赛葵,basionym,Malva coromandeliana
扁头猫,IUCN conservation status,濒危物种
豇豆,basionym,Dolichos unguiculatus
赵县,located in the administrative territorial entity,石家庄市
fisher,taxon synonym,Pekania pennanti
轴榈属,topic's main category,Category:轴榈属
痴呆症,drug used for treatment,多奈派齐
学士,said to be the same as,laurea
gf,highest point,Bellevue de l'Inini
恩特雷里奥斯省,located in time zone,UTC−03:00
林丹,participant of,2006 Macau Open Badminton Championships – Men's singles
尘肺,subclass of,间质性肺病
稻,subclass of,种子
铜锈,IMA status and/or rank,grandfathered mineral (G)
赵县,contains administrative territorial entity,赵州镇
fisher,IUCN conservation status,无危物种
痴呆症,drug used for treatment,galantamine
学士,said to be the same as,licence
gf,head of government,鲁道夫·亚历山大
林丹,participant of,2001 Asian Badminton Championships – Men's singles
尘肺,health specialty,胸腔医学
铜锈,IMA status and/or rank,published before 1959
赵县,contains administrative territorial entity,范庄镇
fisher,named after,Thomas Pennant
痴呆症,drug used for treatment,tacrine
gf,executive body,圭亚那大区委员会
恩特雷里奥斯省,shares border with,圣大非省
林丹,participant of,2008 Asian Badminton Championships – Men's singles
尘肺,described by source,亚美尼亚苏维埃百科全书
稻,subclass of,food ingredient
铜锈,described by source,亚美尼亚苏维埃百科全书
赵县,contains administrative territorial entity,北王里镇
痴呆症,drug used for treatment,rivastigmine
gf,contains administrative territorial entity,卡宴区
林丹,participant of,2010 Asian Badminton Championships – Men's singles
铜锈,described by source,俄语百科全书
赵县,contains administrative territorial entity,新寨店镇
痴呆症,topic's main category,Category:痴呆
gf,contains administrative territorial entity,圣洛朗杜马罗尼区
恩特雷里奥斯省,shares border with,萨尔托省
林丹,participant of,2011 Asian Badminton Championships – Men's singles
稻,use,餬
铜锈,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
赵县,contains administrative territorial entity,韩村镇 (赵县)
痴呆症,described by source,亚美尼亚苏维埃百科全书
gf,located in time zone,UTC−03:00
恩特雷里奥斯省,shares border with,派桑杜省
林丹,participant of,2012 Asian Badminton Championships – Men's Singles
稻,use,肉圆#世界各地的肉圆
铜锈,described by source,Explanatory Dictionary of the Living Great Russian Language
赵县,contains administrative territorial entity,南柏舍镇
gf,currency,欧元
恩特雷里奥斯省,shares border with,内格罗河省
林丹,participant of,2014 Asian Badminton Championships – Men's Singles
稻,use,义大利炖饭
赵县,contains administrative territorial entity,沙河店镇 (赵县)
gf,shares border with,苏利南
恩特雷里奥斯省,shares border with,索里亚诺省
林丹,participant of,2015 Asian Badminton Championships – Men's singles
稻,topic's main category,Category:水稻
赵县,contains administrative territorial entity,前大章乡
恩特雷里奥斯省,shares border with,科洛尼亚省
林丹,participant of,2016 Asian Badminton Championships – Men's singles
赵县,contains administrative territorial entity,谢庄乡 (赵县)
gf,flag,flag of French Guiana
恩特雷里奥斯省,topic's main category,Category:Entre Ríos Province
林丹,participant of,2000 Asian Junior Badminton Championships – Men's singles
马来西亚,diplomatic relation,斐济
赵县,contains administrative territorial entity,高村乡 (赵县)
gf,electrical plug type,欧式插头
恩特雷里奥斯省,category of associated people,Category:恩特雷里奥斯省人
林丹,participant of,2014 Australian Open Badminton Championships – Men's singles
目,instance of,分类级别
计算,topic's main Wikimedia portal,Portal:资讯科技
块,instance of,计量单位
凯洛格,instance of,维基媒体消歧义页
Hun,instance of,飞机系列
稻,catalog,Wikipedia:基础条目
赵县,contains administrative territorial entity,王西章乡
gf,electrical plug type,Type D
林丹,participant of,Badminton at the 2006 Asian Games – Men's Team
Blood,field of work,血液学
计算,topic's main category,Category:计算
块,has quality,区块
香草冰淇淋,topic's main category,Category:Vanilla ice cream
BA,instance of,公开股份有限公司
Hun,subclass of,第二代战机
赵县,located in time zone,UTC+08:00
gf,electrical plug type,Type E
马来西亚,member of,东南亚国家联盟
黄耀祥,instance of,人类
情感,instance of,音乐专辑
disk,subclass of,flat figure
江南地区,topic's main category,Category:吴越
Blood,publisher,美国血液学会
BA,chief executive officer,Álex Cruz
Hun,subclass of,single-engine aircraft
gf,top-level Internet domain,.gf
情感,genre,流行音乐
disk,has quality,area of plane shape
Shan,instance of,壮傣语支
Hun,operator,美国空军
gf,topic's main Wikimedia portal,Portal:French Guiana
马来西亚,member of,世界贸易组织
巴思,instance of,维基媒体消歧义页
纸牌,instance of,电子游戏
nature,instance of,现象
Hell,instance of,etching (print)
夜兰香,instance of,生物分类单元
国籍,subclass of,关系
情感,performer,玛丽亚·凯莉
Shan,writing system,Shan alphabet
目,part of,上目
Hun,operator,丹麦空军
gf,topic's main category,Category:法属圭亚那
马来西亚,member of,亚洲太平洋经济合作组织
纸牌,instance of,card game video game
国籍,topic's main category,Category:国籍
情感,record label,哥伦比亚唱片
Shan,topic's main category,Category:Shan language
目,topic's main category,Category:Orders (biology)
BA,airline alliance,寰宇一家
Hun,operator,法国空军
gf,category for people who died here,Category:Deaths in French Guiana
马来西亚,member of,伊斯兰会议组织
诺曼底公爵,instance of,贵族等级
Empty,subclass of,中国一级行政区
刺猬,instance of,生物分类单元
祭品,subclass of,rite
大节竹,instance of,生物分类单元
屏南县,located in the administrative territorial entity,宁德市
纸牌,based on,接龙
nature,topic's main template,Template:自然的组成
Hell,location,Art Museum of Estonia
夜兰香,parent taxon,夜来香属
国籍,described by source,亚美尼亚苏维埃百科全书
BA,airline hub,伦敦希思罗机场
Hun,operator,Royal Thai Air Force
gf,category for films shot at this location,Category:Films shot in French Guiana
马来西亚,member of,国际复兴开发银行
诺曼底公爵,topic's main category,Category:诺曼底公爵
Suzuki,instance of,car marque
祭品,topic's main category,Category:祭品
荧光黄,instance of,药物治疗
屏南县,contains administrative territorial entity,古峰镇
纸牌,genre,接龙
nature,topic's main category,Category:自然
Hell,creator,Eduard Wiiralt
夜兰香,basionym,Asclepias cordata
情感,follows,Mariah Carey
BA,airline hub,伦敦盖特威克机场
Hun,operator,土耳其空军
gf,geography of topic,geography of French Guiana
马来西亚,member of,国际开发协会
表面波,subclass of,机械波
体,subclass of,partial algebra
两极,subclass of,natural geographic object
SO,instance of,瑞士行政区划
刺猬,parent taxon,猬科
Suzuki,industry,汽车工业
祭品,described by source,Vlastenský slovník historický
屏南县,contains administrative territorial entity,双溪镇 (屏南县)
Hell,depicts,地狱
情感,followed by,MTV不插电演唱会
BA,owned by,国际航空集团
Hun,manufacturer,北美航空
gf,history of topic,History of French Guiana
马来西亚,member of,国际金融公司
心血管疾病,subclass of,disease of anatomical entity
体,subclass of,欧几里得整环
SO,named after,索洛图恩
刺猬,means of locomotion,滚动
Suzuki,founded by,铃木道雄
祭品,described by source,亚美尼亚苏维埃百科全书
长沙县,contains administrative territorial entity,星沙街道
屏南县,contains administrative territorial entity,黛溪镇
纸牌,platform,微软视窗
nature,catalog,Wikipedia:基础条目
Hell,collection,Art Museum of Estonia
情感,followed by,MTV Unplugged
BA,parent organization,国际航空集团
Hun,armament,M39机炮
马来西亚,member of,多边投资担保机构
比哈尔邦,instance of,state of India
斯威策,instance of,人类
Xe,instance of,音乐专辑
心绞痛,instance of,症状
钦俊德,instance of,人类
分析化学,subclass of,化学
钉螺,instance of,生物分类单元
心血管疾病,health specialty,心脏内科
体,subclass of,simple ring
SO,official language,德语
Empty,topic's main category,Category:中国省份
刺猬,means of locomotion,quadrupedalism
祭品,described by source,大保利古典学百科全书
长沙县,contains administrative territorial entity,泉塘街道
屏南县,contains administrative territorial entity,长桥镇
纸牌,game mode,单人电子游戏
Hell,exhibition history,Europeana 280
BA,subsidiary,开放天空
Hun,armament,AIM-9响尾蛇飞弹
马来西亚,member of,国际投资争端解决中心
比哈尔邦,named after,精舎
Xe,genre,自由爵士
心绞痛,subclass of,Coronary disease
分析化学,topic's main category,Category:分析化学
金融机构,topic's main category,Category:金融机构
体,subclass of,除环
刺猬,topic's main template,Template:Erinaceinae
Suzuki,legal form,株式会社
长沙县,contains administrative territorial entity,湘龙街道
屏南县,contains administrative territorial entity,屏城乡
BA,subsidiary,德国三角洲航空
Hun,armament,AGM-12飞弹
马来西亚,member of,Association of Southeast Asian Nations Regional Forum
Xe,performer,Zs
心绞痛,health specialty,心脏内科
钦俊德,member of,中国科学院生命科学和医学学部
分析化学,described by source,亚美尼亚苏维埃百科全书
钉螺,parent taxon,Pomatiopsidae
心血管疾病,genetic association,IL1RAPL1
体,subclass of,阿廷环
SO,capital,索洛图恩
刺猬,topic's main category,Category:Erinaceinae
Suzuki,location of formation,滨松市
长沙县,contains administrative territorial entity,黄花镇
屏南县,contains administrative territorial entity,棠口乡
BA,subsidiary,BA Connect
Hun,armament,LAU-3/A火箭荚舱
马来西亚,member of,亚洲开发银行
心绞痛,drug used for treatment,地尔硫䓬
分析化学,catalog,Wikipedia:基础条目
心血管疾病,genetic association,HFE (基因)
体,subclass of,向量空间
刺猬,different from,豪猪
Suzuki,headquarters location,滨松市
长沙县,contains administrative territorial entity,黄兴镇
屏南县,contains administrative territorial entity,甘棠乡
BA,subsidiary,Go Fly
Hun,armament,无诱导炸弹
马来西亚,member of,国际刑警组织
比哈尔邦,capital,巴特那
斯威策,place of birth,索尔福德
心绞痛,drug used for treatment,penbutolol
心血管疾病,genetic association,TOMM40
体,subclass of,双代数
SO,highest point,Hasenmatt
长沙县,contains administrative territorial entity,㮾梨街道
屏南县,contains administrative territorial entity,熙岭乡
BA,subsidiary,Air Liberté
Hun,armament,Mk 7核弹
马来西亚,member of,禁止化学武器组织
斯威策,occupation,足球运动员
心绞痛,drug used for treatment,硝苯地平
心血管疾病,genetic association,CELSR2
体,subclass of,交换环
SO,legislative body,Cantonal Council of Solothurn
Suzuki,topic's main category,Category:铃木汽车
长沙县,contains administrative territorial entity,江背镇 (长沙县)
屏南县,contains administrative territorial entity,路下乡
BA,subsidiary,L'Avion
Hun,armament,B28氢弹
马来西亚,member of,国际航道测量组织
比哈尔邦,located in the administrative territorial entity,英属印度
斯威策,position played on team / speciality,后卫
心绞痛,drug used for treatment,硝酸甘油
心血管疾病,genetic association,IRX4
体,subclass of,non necessarily commutative field
SO,archives at,Staatsarchiv des Kantons Solothurn
长沙县,contains administrative territorial entity,春华镇
屏南县,contains administrative territorial entity,寿山乡 (屏南县)
BA,subsidiary,British Airways Limited
Hun,armament,B43
马来西亚,member of,联合国教育、科学与文化组织
比哈尔邦,head of state,拉姆·纳特·科温德
斯威策,member of sports team,达灵顿足球俱乐部
心绞痛,drug used for treatment,carvedilol
心血管疾病,genetic association,SLC17A4
体,has parts of the class,阿贝尔群
SO,contains administrative territorial entity,Bucheggberg-Wasseramt
长沙县,contains administrative territorial entity,果园镇
屏南县,contains administrative territorial entity,岭下乡
BA,subsidiary,Caledonian Airways
Hun,powerplant,J57发动机
马来西亚,member of,Group on Earth Observations
比哈尔邦,head of government,Nitish Kumar
斯威策,member of sports team,曼彻斯特联足球俱乐部
心绞痛,drug used for treatment,esmolol
心血管疾病,genetic association,低密度脂蛋白受体
体,different from,non necessarily commutative field
SO,contains administrative territorial entity,Dorneck-Thierstein
长沙县,contains administrative territorial entity,路口镇 (长沙县)
屏南县,located in time zone,UTC+08:00
BA,subsidiary,CityFlyer Express
Hun,use,战斗轰炸机
比哈尔邦,follows,Tapasa vai Ganga
斯威策,member of sports team,Irlam F.C.
心绞痛,drug used for treatment,阿替洛尔
心血管疾病,genetic association,载脂蛋白B
SO,contains administrative territorial entity,Thal-Gäu
长沙县,contains administrative territorial entity,高桥镇 (长沙县)
屏南县,topic's main category,Category:屏南县
BA,subsidiary,城市飞行者航空
比哈尔邦,contains administrative territorial entity,Bhagalpur division
斯威策,member of sports team,海德足球俱乐部
心绞痛,drug used for treatment,nisoldipine
心血管疾病,genetic association,OASL
SO,contains administrative territorial entity,Olten-Gösgen
长沙县,contains administrative territorial entity,金井镇 (长沙县)
BA,business division,城市飞行者航空
马来西亚,ethnic group,马来西亚马来人
比哈尔邦,contains administrative territorial entity,Kosi division
斯威策,member of sports team,沙福特城足球会
心血管疾病,genetic association,MEPE
SO,contains administrative territorial entity,Solothurn-Lebern
长沙县,contains administrative territorial entity,福临镇
BA,business division,开放天空
马来西亚,ethnic group,马来西亚华人
比哈尔邦,contains administrative territorial entity,Munger division
心绞痛,drug used for treatment,mibefradil
心血管疾病,genetic association,BCHE
SO,located in time zone,UTC+01:00
长沙县,contains administrative territorial entity,青山铺镇
BA,business division,British Airways Limited
马来西亚,ethnic group,原住民
比哈尔邦,contains administrative territorial entity,Magadh division
心绞痛,drug used for treatment,毕索洛尔
心血管疾病,genetic association,GCKR
SO,located in time zone,UTC+02:00
长沙县,contains administrative territorial entity,安沙镇
马来西亚,ethnic group,印度裔马来西亚人
比哈尔邦,contains administrative territorial entity,Tirhut division
心血管疾病,topic's main category,Category:循环系统疾病
SO,shares border with,伯恩州
长沙县,contains administrative territorial entity,北山镇 (长沙县)
BA,stock exchange,伦敦证券交易所
马来西亚,contains administrative territorial entity,柔佛州
比哈尔邦,contains administrative territorial entity,Saran division
心绞痛,drug used for treatment,艾雷待平
SO,shares border with,阿尔高州
长沙县,contains administrative territorial entity,双江镇 (长沙县)
BA,item operated,空中客车A320系列
马来西亚,contains administrative territorial entity,吉打
比哈尔邦,contains administrative territorial entity,Purnia division
心绞痛,drug used for treatment,美托洛尔
SO,shares border with,巴塞尔乡村州
长沙县,contains administrative territorial entity,开慧镇
BA,item operated,波音737
马来西亚,contains administrative territorial entity,吉兰丹
比哈尔邦,contains administrative territorial entity,Patna division
心绞痛,drug used for treatment,维拉帕米
SO,shares border with,上莱茵省
长沙县,contains administrative territorial entity,干杉镇
BA,item operated,波音747
密码子,instance of,triad
荷兰猪,instance of,生物分类单元
气相色谱法,topic's main category,Category:气相色谱法
糖原磷酸化酶,subclass of,glucosyltransferase
A站,instance of,网站
比哈尔邦,contains administrative territorial entity,Darbhanga division
心绞痛,drug used for treatment,pindolol
SO,shares border with,汝拉州
长沙县,contains administrative territorial entity,白沙镇 (长沙县)
BA,item operated,波音757
马来西亚,contains administrative territorial entity,森美兰
亚硫酸氢钠,has effect,sodium bisulfite exposure
密码子,subclass of,核酸序列
荷兰猪,instance of,模式生物
比哈尔邦,located in time zone,UTC+05:30
心绞痛,drug used for treatment,bepridil
SO,shares border with,阿尔萨斯
长沙县,located in time zone,UTC+08:00
BA,item operated,波音767
马来西亚,contains administrative territorial entity,彭亨
拉力,subclass of,变化
麦穗,instance of,人类
红桑,instance of,生物分类单元
黄芪,instance of,生物分类单元
A站,product or material produced,影片分享网站
比哈尔邦,shares border with,贾坎德邦
心绞痛,drug used for treatment,氨氯地平
SO,list of monuments,List of cultural properties in the Canton of Solothurn
长沙县,topic's main category,Category:长沙县
BA,item operated,波音777
马来西亚,contains administrative territorial entity,霹雳州
拉力,topic's main category,Category:变形
Cam,instance of,民政教区
密码子,part of,MRNA
荷兰猪,parent taxon,豚鼠属
心绞痛,drug used for treatment,nadolol
SO,list of monuments,List of cultural property of national significance in Switzerland: Solothurn
BA,item operated,BAC 1-11
马来西亚,contains administrative territorial entity,玻璃市
秦宣公,instance of,人类
Japan,instance of,主权国家
肉苁蓉,instance of,生物分类单元
拉力,described by source,亚美尼亚苏维埃百科全书
安图县,located in the administrative territorial entity,延边朝鲜族自治州
黄芪,parent taxon,山羊豆族
密码子,opposite of,anticodon
荷兰猪,topic's main category,Category:Cavia porcellus
心绞痛,drug used for treatment,sulfinpyrazone
SO,topic's main Wikimedia portal,Portal:Solothurn
BA,item operated,波音707
马来西亚,contains administrative territorial entity,槟城
北凉,instance of,historical Chinese state
安图县,contains administrative territorial entity,瓮声街道
黄芪,topic's main category,Category:黄芪属
Cam,located in the administrative territorial entity,Stroud District
荷兰猪,described by source,Otto's encyclopedia
比哈尔邦,shares border with,东部发展区
心绞痛,drug used for treatment,timolol
SO,topic's main category,Category:Canton of Solothurn
BA,item operated,霍克薛利三叉戟型
候鸟,subclass of,动物迁徙
华美,place of birth,圣地亚哥动物园
Japan,instance of,岛屿国家
北凉,capital,张掖市
肉苁蓉,parent taxon,肉苁蓉属
安图县,contains administrative territorial entity,九龙街道
黄芪,described by source,Encyclopedia of Armenian Nature
比哈尔邦,shares border with,中部发展区
心绞痛,drug used for treatment,acebutolol
SO,category of associated people,Category:People from the canton of Solothurn
BA,item operated,霍克·西德利748
马来西亚,contains administrative territorial entity,砂拉越
秦宣公,sibling,秦成公
华美,father,石石
北凉,topic's main category,Category:北凉
安图县,contains administrative territorial entity,明月镇
比哈尔邦,topic's main category,Category:比哈尔邦
心绞痛,drug used for treatment,nicardipine
SO,category for people born here,Category:People born in Canton of Solothurn
BA,item operated,洛歇L-1011
马来西亚,contains administrative territorial entity,雪兰莪
候鸟,has contributing factor,气候
安图县,contains administrative territorial entity,松江镇 (安图县)
比哈尔邦,category of associated people,Category:比哈尔邦人
心绞痛,drug used for treatment,felodipine
SO,category for people who died here,Category:Deaths in Canton of Solothurn
BA,item operated,维克斯VC10
马来西亚,contains administrative territorial entity,登嘉楼
候鸟,topic's main category,Category:Bird migration
华美,location,圣地亚哥动物园
Japan,anthem,君之代
安图县,contains administrative territorial entity,二道白河镇
比哈尔邦,category for films shot at this location,Category:Films shot in Bihar
心绞痛,drug used for treatment,拉贝洛尔
BA,item operated,Vickers Vanguard
候鸟,has part,reverse migration
华美,location,四川卧龙国家级自然保护区
安图县,contains administrative territorial entity,两江镇 (安图县)
比哈尔邦,geography of topic,geography of Bihar
心绞痛,drug used for treatment,普萘洛尔
BA,item operated,维克斯子爵
马来西亚,contains administrative territorial entity,纳闽
华美,location,Bifengxia Panda Base
心绞痛,drug used for treatment,erythrityl tetranitrate
BA,item operated,庞巴迪Q系列
马来西亚,contains administrative territorial entity,布城
Japan,capital,东京都
安图县,contains administrative territorial entity,万宝镇 (安图县)
心绞痛,drug used for treatment,辅酶Q10
BA,item operated,萨博340
马来西亚,located in time zone,UTC+08:00
Japan,capital,平城京
安图县,contains administrative territorial entity,亮兵镇
心绞痛,drug used for treatment,季戊四醇四硝酸酯
BA,item operated,波音787
马来西亚,currency,马来西亚令吉
Japan,capital,长冈京
